gender,transaction_value,transaction_quantity,festive,for_self,returned
male,34,4,0,1,1
male,45,2,0,1,1
male,27,6,0,1,1
male,57,2,0,1,1
male,33,7,0,1,1
male,28,4,0,1,1
male,61,2,1,1,1
male,13,1,1,1,0
male,12,1,1,1,0
male,7,2,0,1,0
male,71,4,0,0,1
male,62,2,0,0,1
male,44,3,1,0,1
male,13,2,1,0,0
male,45,1,1,0,0
male,23,1,1,0,0
male,57,1,1,0,0
male,24,2,0,0,0
male,46,2,0,0,0
female,46,4,0,1,1
female,36,5,0,1,1
female,64,3,1,1,1
female,56,2,0,1,1
female,18,5,0,1,1
female,52,2,0,1,1
female,17,1,1,1,0
female,9,3,0,1,0
female,20,2,1,1,0
female,78,5,0,0,1
female,82,2,1,0,0
female,37,1,1,0,0
female,54,1,0,0,0
female,35,2,0,0,0
female,27,1,1,0,0
male,33,4,0,1,1
male,44,2,0,1,1
male,26,6,0,1,1
male,56,2,0,1,1
male,32,7,0,1,1
male,27,4,0,1,1
male,60,2,1,1,1
male,12,1,1,1,0
male,11,1,1,1,0
male,6,2,0,1,0
male,70,4,0,0,1
male,61,2,0,0,1
male,43,3,1,0,1
male,12,2,1,0,0
male,44,1,1,0,0
male,22,1,1,0,0
male,56,1,1,0,0
male,23,2,0,0,0
male,45,2,0,0,0
female,45,4,0,1,1
female,35,5,0,1,1
female,63,3,1,1,1
female,55,2,0,1,1
female,17,5,0,1,1
female,51,2,0,1,1
female,16,1,1,1,0
female,8,3,0,1,0
female,19,2,1,1,0
female,77,5,0,0,1
female,81,2,1,0,0
female,36,1,1,0,0
female,53,1,0,0,0
female,34,2,0,0,0
female,26,1,1,0,0
male,37,4,0,1,1
male,48,2,0,1,1
male,30,6,0,1,1
male,60,2,0,1,1
male,36,7,0,1,1
male,31,4,0,1,1
male,64,2,1,1,1
male,16,1,1,1,0
male,15,1,1,1,0
male,10,2,0,1,0
male,74,4,0,0,1
male,65,2,0,0,1
male,47,3,1,0,1
male,16,2,1,0,0
male,48,1,1,0,0
male,26,1,1,0,0
male,60,1,1,0,0
male,27,2,0,0,0
male,49,2,0,0,0
female,49,4,0,1,1
female,39,5,0,1,1
female,67,3,1,1,1
female,59,2,0,1,1
female,21,5,0,1,1
female,55,2,0,1,1
female,20,1,1,1,0
female,12,3,0,1,0
female,23,2,1,1,0
female,81,5,0,0,1
female,85,2,1,0,0
female,40,1,1,0,0
female,57,1,0,0,0
female,38,2,0,0,0
female,30,1,1,0,0
male,36,4,0,1,1
male,47,2,0,1,1
male,29,6,0,1,1
male,59,2,0,1,1
male,35,7,0,1,1
male,30,4,0,1,1
male,63,2,1,1,1
male,15,1,1,1,0
male,14,1,1,1,0
male,9,2,0,1,0
male,73,4,0,0,1
male,64,2,0,0,1
male,46,3,1,0,1
male,15,2,1,0,0
male,47,1,1,0,0
male,25,1,1,0,0
male,59,1,1,0,0
male,26,2,0,0,0
male,48,2,0,0,0
female,48,4,0,1,1
female,38,5,0,1,1
female,66,3,1,1,1
female,58,2,0,1,1
female,20,5,0,1,1
female,54,2,0,1,1
female,19,1,1,1,0
female,11,3,0,1,0
female,22,2,1,1,0
female,80,5,0,0,1
female,84,2,1,0,0
female,39,1,1,0,0
female,56,1,0,0,0
female,37,2,0,0,0
female,29,1,1,0,0
male,34,5,0,1,1
male,45,3,0,1,1
male,27,7,0,1,1
male,57,3,0,1,1
male,33,8,0,1,1
male,28,5,0,1,1
male,61,3,1,1,1
male,13,2,1,1,0
male,12,2,1,1,0
male,7,3,0,1,0
male,71,5,0,0,1
male,62,3,0,0,1
male,44,4,1,0,1
male,13,3,1,0,0
male,45,2,1,0,0
male,23,2,1,0,0
male,57,2,1,0,0
male,24,3,0,0,0
male,46,3,0,0,0
female,46,5,0,1,1
female,36,6,0,1,1
female,64,4,1,1,1
female,56,3,0,1,1
female,18,6,0,1,1
female,52,3,0,1,1
female,17,2,1,1,0
female,9,4,0,1,0
female,20,3,1,1,0
female,78,6,0,0,1
female,82,3,1,0,0
female,37,2,1,0,0
female,54,2,0,0,0
female,35,3,0,0,0
female,27,2,1,0,0
male,38,5,0,1,1
male,49,3,0,1,1
male,31,7,0,1,1
male,61,3,0,1,1
male,37,8,0,1,1
male,32,5,0,1,1
male,65,3,1,1,1
male,17,2,1,1,0
male,16,2,1,1,0
male,11,3,0,1,0
male,75,5,0,0,1
male,66,3,0,0,1
male,48,4,1,0,1
male,17,3,1,0,0
male,49,2,1,0,0
male,27,2,1,0,0
male,61,2,1,0,0
male,28,3,0,0,0
male,50,3,0,0,0
female,50,5,0,1,1
female,40,6,0,1,1
female,68,4,1,1,1
female,60,3,0,1,1
female,22,6,0,1,1
female,56,3,0,1,1
female,21,2,1,1,0
female,13,4,0,1,0
female,24,3,1,1,0
female,82,6,0,0,1
female,86,3,1,0,0
female,41,2,1,0,0
female,58,2,0,0,0
female,39,3,0,0,0
female,31,2,1,0,0
male,37,5,0,1,1
male,48,3,0,1,1
male,30,7,0,1,1
male,60,3,0,1,1
male,36,8,0,1,1
male,31,5,0,1,1
male,64,3,1,1,1
male,16,2,1,1,0
male,15,2,1,1,0
male,10,3,0,1,0
male,74,5,0,0,1
male,65,3,0,0,1
male,47,4,1,0,1
male,16,3,1,0,0
male,48,2,1,0,0
male,26,2,1,0,0
male,60,2,1,0,0
male,27,3,0,0,0
male,49,3,0,0,0
female,49,5,0,1,1
female,39,6,0,1,1
female,67,4,1,1,1
female,59,3,0,1,1
female,21,6,0,1,1
female,55,3,0,1,1
female,20,2,1,1,0
female,12,4,0,1,0
female,23,3,1,1,0
female,81,6,0,0,1
female,85,3,1,0,0
female,40,2,1,0,0
female,57,2,0,0,0
female,38,3,0,0,0
female,30,2,1,0,0
male,34,5,0,1,1
male,45,3,0,1,1
male,27,7,0,1,1
male,57,3,0,1,1
male,33,8,0,1,1
male,28,5,0,1,1
male,61,3,1,1,1
male,13,2,1,1,0
male,12,2,1,1,0
male,7,3,0,1,0
male,71,5,0,0,1
male,62,3,0,0,1
male,44,4,1,0,1
male,13,3,1,0,0
male,45,2,1,0,0
male,23,2,1,0,0
male,57,2,1,0,0
male,24,3,0,0,0
male,46,3,0,0,0
female,46,5,0,1,1
female,36,6,0,1,1
female,64,4,1,1,1
female,56,3,0,1,1
female,18,6,0,1,1
female,52,3,0,1,1
female,17,2,1,1,0
female,9,4,0,1,0
female,20,3,1,1,0
female,78,6,0,0,1
female,82,3,1,0,0
female,37,2,1,0,0
female,54,2,0,0,0
female,35,3,0,0,0
female,27,2,1,0,0
male,38,5,0,1,1
male,49,3,0,1,1
male,31,7,0,1,1
male,61,3,0,1,1
male,37,8,0,1,1
male,32,5,0,1,1
male,65,3,1,1,1
male,78,6,0,1,0
male,16,2,1,1,0
male,11,3,0,1,0
male,75,5,0,0,1
male,66,3,0,0,1
male,48,4,1,0,1
male,17,3,1,0,0
male,49,2,1,0,0
male,27,2,1,0,0
male,61,2,1,0,0
male,28,3,0,0,0
male,50,3,0,0,0
female,50,5,0,1,1
female,40,6,0,1,1
female,68,4,1,1,1
female,60,3,0,1,1
female,22,6,0,1,1
female,56,3,0,1,1
female,21,2,1,1,0
female,13,4,0,1,0
female,24,3,1,1,0
female,82,6,0,0,1
female,86,3,1,0,0
female,41,2,1,0,0
female,58,2,0,0,0
female,39,3,0,0,0
female,31,2,1,0,0
male,37,5,0,1,1
male,48,3,0,1,1
male,30,7,0,1,1
male,60,3,0,1,1
male,36,8,0,1,1
male,31,5,0,1,1
male,64,3,1,1,1
male,16,2,1,1,0
male,89,2,0,1,0
male,10,3,0,1,0
male,74,5,0,0,1
male,65,3,0,0,1
male,47,4,1,0,1
male,16,3,1,0,0
male,48,2,1,0,0
male,26,2,1,0,0
male,60,2,1,0,0
male,27,3,0,0,0
male,49,3,0,0,0
female,49,5,0,1,1
female,39,6,0,1,1
female,67,4,1,1,1
female,59,3,0,1,1
female,21,6,0,1,1
female,55,3,0,1,1
female,20,2,1,1,0
female,12,4,0,1,0
female,23,3,1,1,0
female,14,1,0,0,1
female,85,3,1,0,0
female,40,2,1,0,0
female,57,2,0,0,0
female,12,1,0,0,1
female,30,2,1,0,0
